,movie,year,time_minute,imdb_rating,metascore
0,Avatar: The Way of Water,(2022),192 min,7.8,67        
1,Puss in Boots: The Last Wish,(2022),102 min,7.9,75        
2,The Banshees of Inisherin,(2022),114 min,7.8,87        
3,Everything Everywhere All at Once,(2022),139 min,8.0,81        
4,The Fabelmans,(2022),151 min,7.7,84        
5,Knives Out,(2019),130 min,7.9,82        
6,Avatar,(2009),162 min,7.9,83        
7,Top Gun: Maverick,(2022),130 min,8.3,78        
8,Aftersun,(II) (2022),102 min,7.8,95        
9,All Quiet on the Western Front,(2022),148 min,7.8,76        
10,Guillermo del Toro's Pinocchio,(2022),117 min,7.7,79        
11,RRR,(2022),187 min,7.9,83        
12,The Godfather,(1972),175 min,9.2,100        
13,The Batman,(2022),176 min,7.8,72        
14,Once Upon a Time in Hollywood,(2019),161 min,7.6,83        
15,The Shawshank Redemption,(1994),142 min,9.3,81        
16,Interstellar,(2014),169 min,8.6,74        
17,Harry Potter and the Sorcerer's Stone,(2001),152 min,7.6,65        
18,Titanic,(1997),194 min,7.9,75        
19,Pulp Fiction,(1994),154 min,8.9,94        
20,Dune,(2021),155 min,8.0,74        
21,The Goonies,(1985),114 min,7.7,62        
22,Spider-Man: No Way Home,(2021),148 min,8.2,71        
23,The Wolf of Wall Street,(2013),180 min,8.2,75        
24,American Psycho,(2000),102 min,7.6,64        
25,The Dark Knight,(2008),152 min,9.0,84        
26,Inception,(2010),148 min,8.8,74        
27,Fight Club,(1999),139 min,8.8,66        
28,Whiplash,(2014),106 min,8.5,89        
29,The Gentlemen,(2019),113 min,7.8,51        
30,The Blues Brothers,(1980),133 min,7.9,60        
31,Good Will Hunting,(1997),126 min,8.3,70        
32,Heat,(1995),170 min,8.3,76        
33,Avengers: Endgame,(2019),181 min,8.4,78        
34,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,8.8,92        
35,Parasite,(2019),132 min,8.5,96        
36,Blade Runner 2049,(2017),164 min,8.0,81        
37,Prisoners,(2013),153 min,8.1,70        
38,In Bruges,(2008),107 min,7.9,67        
39,Jurassic Park,(1993),127 min,8.2,68        
40,A Man Called Ove,(2015),116 min,7.7,70        
41,Road to Perdition,(2002),117 min,7.7,72        
42,Schindler's List,(1993),195 min,9.0,94        
43,Goodfellas,(1990),145 min,8.7,91        
44,Forrest Gump,(1994),142 min,8.8,82        
45,Joker,(I) (2019),122 min,8.4,59        
46,Inglourious Basterds,(2009),153 min,8.3,69        
47,Black Swan,(2010),108 min,8.0,79        
48,The Prestige,(2006),130 min,8.5,66        
49,Get Out,(I) (2017),104 min,7.7,85        
50,Indiana Jones and the Raiders of the Lost Ark,(1981),115 min,8.4,85        
51,The Departed,(2006),151 min,8.5,85        
52,Drive,(I) (2011),100 min,7.8,78        
53,Green Book,(2018),130 min,8.2,69        
54,Tombstone,(1993),130 min,7.8,50        
55,Léon: The Professional,(1994),110 min,8.5,64        
56,The Godfather: Part II,(1974),202 min,9.0,90        
57,Sicario,(2015),121 min,7.6,82        
58,Django Unchained,(2012),165 min,8.4,81        
59,Requiem for a Dream,(2000),102 min,8.3,71        
60,Gladiator,(2000),155 min,8.5,67        
61,Apocalypse Now,(1979),147 min,8.5,94        
62,Sing Street,(2016),106 min,7.9,79        
63,The Grand Budapest Hotel,(2014),99 min,8.1,88        
64,Gone Girl,(2014),149 min,8.1,79        
65,The Breakfast Club,(1985),97 min,7.8,66        
66,La La Land,(2016),128 min,8.0,94        
67,12 Angry Men,(1957),96 min,9.0,96        
68,Pride & Prejudice,(2005),129 min,7.8,82        
69,Se7en,(1995),127 min,8.6,65        
70,American Beauty,(1999),122 min,8.4,84        
71,Hidden Figures,(2016),127 min,7.8,74        
72,Shutter Island,(2010),138 min,8.2,63        
73,Life Is Beautiful,(1997),116 min,8.6,59        
74,Rogue One: A Star Wars Story,(2016),133 min,7.8,65        
75,The Green Mile,(1999),189 min,8.6,61        
76,The Lord of the Rings: The Return of the King,(2003),201 min,9.0,94        
77,The Silence of the Lambs,(1991),118 min,8.6,85        
78,The Matrix,(1999),136 min,8.7,73        
79,Mad Max: Fury Road,(2015),120 min,8.1,90        
80,Alien,(1979),117 min,8.5,89        
81,Harry Potter and the Goblet of Fire,(2005),157 min,7.7,81        
82,Back to the Future,(1985),116 min,8.5,87        
83,Rocky,(1976),120 min,8.1,70        
84,No Country for Old Men,(2007),122 min,8.2,92        
85,Mission: Impossible - Fallout,(2018),147 min,7.7,86        
86,Bohemian Rhapsody,(2018),134 min,7.9,49        
87,Reservoir Dogs,(1992),99 min,8.3,79        
88,Hacksaw Ridge,(2016),139 min,8.1,71        
89,Her,(2013),126 min,8.0,91        
90,"Three Billboards Outside Ebbing, Missouri",(2017),115 min,8.1,88        
91,Eternal Sunshine of the Spotless Mind,(2004),108 min,8.3,89        
92,Little Women,(2019),135 min,7.8,91        
93,Taxi Driver,(1976),114 min,8.2,94        
94,CODA,(2021),111 min,8.0,72        
95,The Worst Person in the World,(2021),128 min,7.8,90        
96,Star Wars: Episode IV - A New Hope,(1977),121 min,8.6,90        
97,"The Good, the Bad and the Ugly",(1966),178 min,8.8,90        
98,Harry Potter and the Deathly Hallows: Part 2,(2011),130 min,8.1,85        
99,1917,(2019),119 min,8.2,78        
100,Guardians of the Galaxy,(2014),121 min,8.0,76        
101,The Dark Knight Rises,(2012),164 min,8.4,78        
102,The Sting,(1973),129 min,8.3,83        
103,The Father,(I) (2020),97 min,8.2,88        
104,The Usual Suspects,(1995),106 min,8.5,77        
105,Memento,(2000),113 min,8.4,81        
106,The Princess Bride,(1987),98 min,8.0,77        
107,Aliens,(1986),137 min,8.4,84        
108,Wind River,(2017),107 min,7.7,73        
109,American History X,(1998),119 min,8.5,62        
110,Pirates of the Caribbean: The Curse of the Black Pearl,(2003),143 min,8.1,63        
111,Thirteen Lives,(2022),147 min,7.8,66        
112,Avengers: Infinity War,(2018),149 min,8.4,68        
113,Scarface,(1983),170 min,8.3,65        
114,Blade Runner,(1982),117 min,8.1,84        
115,The Fifth Element,(1997),126 min,7.6,52        
116,Harry Potter and the Deathly Hallows: Part 1,(2010),146 min,7.7,65        
117,Ex Machina,(2014),108 min,7.7,78        
118,Kingsman: The Secret Service,(2014),129 min,7.7,60        
119,About Time,(I) (2013),123 min,7.8,55        
120,The Hateful Eight,(2015),168 min,7.8,68        
121,Oldboy,(2003),101 min,8.4,77        
122,Saving Private Ryan,(1998),169 min,8.6,91        
123,The Shining,(1980),146 min,8.4,66        
124,A Clockwork Orange,(1971),136 min,8.3,77        
125,Donnie Darko,(2001),113 min,8.0,88        
126,Harry Potter and the Prisoner of Azkaban,(2004),142 min,7.9,82        
127,Spider-Man: Into the Spider-Verse,(2018),117 min,8.4,87        
128,Terminator 2: Judgment Day,(1991),137 min,8.6,75        
129,Brokeback Mountain,(2005),134 min,7.7,87        
130,Logan,(2017),137 min,8.1,77        
131,The Hobbit: An Unexpected Journey,(2012),169 min,7.8,58        
132,Ford v Ferrari,(2019),152 min,8.1,81        
133,Mulholland Drive,(2001),147 min,7.9,86        
134,Kantara,(2022),148 min,8.4,-
135,Indiana Jones and the Last Crusade,(1989),127 min,8.2,65        
136,Zodiac,(2007),157 min,7.7,79        
137,Call Me by Your Name,(2017),132 min,7.8,94        
138,Snatch,(2000),102 min,8.2,55        
139,Batman Begins,(2005),140 min,8.2,70        
140,The Handmaiden,(2016),145 min,8.1,84        
141,Zack Snyder's Justice League,(2021),242 min,8.0,54        
142,Shrek,(2001),90 min,7.9,84        
143,Superbad,(2007),113 min,7.6,76        
144,Searching,(III) (2018),102 min,7.6,71        
145,The Big Short,(2015),130 min,7.8,81        
146,The Irishman,(2019),209 min,7.8,94        
147,Stand by Me,(1986),89 min,8.1,75        
148,Dunkirk,(2017),106 min,7.8,94        
149,The Hangover,(2009),100 min,7.7,73        
150,Spirited Away,(2001),125 min,8.6,96        
151,The Big Lebowski,(1998),117 min,8.1,71        
152,The Truman Show,(1998),103 min,8.2,90        
153,Star Wars: Episode VII - The Force Awakens,(2015),138 min,7.8,80        
154,Arrival,(II) (2016),116 min,7.9,81        
155,Amadeus,(1984),160 min,8.4,88        
156,The Lord of the Rings: The Two Towers,(2002),179 min,8.8,87        
157,The Lion King,(1994),88 min,8.5,88        
158,The Terminator,(1984),107 min,8.1,84        
159,Catch Me If You Can,(2002),141 min,8.1,75        
160,Sin City,(2005),124 min,8.0,74        
161,Primal Fear,(1996),129 min,7.7,47        
162,The Notebook,(2004),123 min,7.8,53        
163,The Sixth Sense,(1999),107 min,8.2,64        
164,Home Alone,(1990),103 min,7.7,63        
165,One Flew Over the Cuckoo's Nest,(1975),133 min,8.7,84        
166,The Sound of Music,(1965),172 min,8.1,63        
167,The Revenant,(2015),156 min,8.0,76        
168,Die Hard,(1988),132 min,8.2,72        
169,Braveheart,(1995),178 min,8.4,68        
170,The Hunt,(2012),115 min,8.3,77        
171,Trainspotting,(1996),93 min,8.1,83        
172,Ratatouille,(2007),111 min,8.1,96        
173,Ocean's Eleven,(2001),116 min,7.7,74        
174,Kill Bill: Vol. 1,(2003),111 min,8.2,69        
175,2001: A Space Odyssey,(1968),149 min,8.3,84        
176,City of God,(2002),130 min,8.6,79        
177,This Is Spinal Tap,(1984),82 min,7.9,92        
178,Airplane!,(1980),88 min,7.7,78        
179,True Romance,(1993),119 min,7.9,59        
180,Ghostbusters,(1984),105 min,7.8,71        
181,There Will Be Blood,(2007),158 min,8.2,93        
182,Minority Report,(2002),145 min,7.6,80        
183,Remember the Titans,(2000),113 min,7.8,48        
184,Deadpool,(2016),108 min,8.0,65        
185,300,(2006),117 min,7.6,52        
186,Kick-Ass,(2010),117 min,7.6,66        
187,The Avengers,(2012),143 min,8.0,69        
188,Casino Royale,(2006),144 min,8.0,80        
189,The Perks of Being a Wallflower,(2012),103 min,7.9,67        
190,Jojo Rabbit,(2019),108 min,7.9,58        
191,Full Metal Jacket,(1987),116 min,8.3,76        
192,Watchmen,(2009),162 min,7.6,56        
193,Come and See,(1985),142 min,8.4,-
194,The Pianist,(2002),150 min,8.5,85        
195,JFK,(1991),189 min,8.0,72        
196,Office Space,(1999),89 min,7.6,68        
197,Almost Famous,(2000),122 min,7.9,90        
198,The Thing,(1982),109 min,8.2,57        
199,Hamilton,(2020),160 min,8.4,89        
200,Boogie Nights,(1997),155 min,7.9,85        
201,Nightcrawler,(2014),117 min,7.8,76        
202,The Intouchables,(2011),112 min,8.5,57        
203,Finding Nemo,(2003),100 min,8.2,90        
204,Once Upon a Time in America,(1984),229 min,8.3,75        
205,The Social Network,(2010),120 min,7.8,95        
206,The Martian,(2015),144 min,8.0,80        
207,Coco,(I) (2017),105 min,8.4,81        
208,Jaws,(1975),124 min,8.1,87        
209,Iron Man,(2008),126 min,7.9,79        
210,The Help,(2011),146 min,8.1,62        
211,Zootopia,(2016),108 min,8.0,78        
212,Moana,(I) (2016),107 min,7.6,81        
213,Fargo,(1996),98 min,8.1,85        
214,The Imitation Game,(2014),114 min,8.0,71        
215,The Blind Side,(2009),129 min,7.6,53        
216,Black Hawk Down,(2001),144 min,7.7,74        
217,Once Upon a Time in the West,(1968),165 min,8.5,80        
218,Dead Poets Society,(1989),128 min,8.1,79        
219,The Exorcist,(1973),122 min,8.1,81        
220,Hell or High Water,(II) (2016),102 min,7.6,88        
221,The Girl with the Dragon Tattoo,(2011),158 min,7.8,71        
222,Blue Is the Warmest Colour,(2013),180 min,7.7,90        
223,Edward Scissorhands,(1990),105 min,7.9,74        
224,Kung Fu Panda,(2008),92 min,7.6,74        
225,Casino,(1995),178 min,8.2,73        
226,Inside Out,(I) (2015),95 min,8.2,94        
227,Dances with Wolves,(1990),181 min,8.0,72        
228,Toy Story,(1995),81 min,8.3,96        
229,Little Miss Sunshine,(2006),101 min,7.8,80        
230,Chinatown,(1974),130 min,8.2,92        
231,Apocalypto,(2006),139 min,7.8,68        
232,Edge of Tomorrow,(2014),113 min,7.9,71        
233,Skyfall,(2012),143 min,7.8,81        
234,Deadpool 2,(2018),119 min,7.7,66        
235,Howl's Moving Castle,(2004),119 min,8.2,80        
236,Ferris Bueller's Day Off,(1986),103 min,7.8,61        
237,Star Trek,(2009),127 min,7.9,82        
238,Atonement,(2007),123 min,7.8,85        
239,Thor: Ragnarok,(2017),130 min,7.9,74        
240,E.T. the Extra-Terrestrial,(1982),115 min,7.9,91        
241,Lion,(2016),118 min,8.0,69        
242,Spotlight,(I) (2015),129 min,8.1,93        
243,Casablanca,(1942),102 min,8.5,100        
244,Manchester by the Sea,(2016),137 min,7.8,96        
245,Pan's Labyrinth,(2006),118 min,8.2,98        
246,Guardians of the Galaxy Vol. 2,(2017),136 min,7.6,67        
247,The Wizard of Oz,(1939),102 min,8.1,92        
248,Psycho,(1960),109 min,8.5,97        
249,Before Sunrise,(1995),101 min,8.1,77        
250,What's Eating Gilbert Grape,(1993),118 min,7.7,73        
251,The Game,(1997),129 min,7.7,63        
252,Blue Velvet,(1986),120 min,7.7,76        
253,Your Name.,(2016),106 min,8.4,79        
254,In the Heat of the Night,(1967),110 min,7.9,76        
255,Star Wars: Episode V - The Empire Strikes Back,(1980),124 min,8.7,82        
256,The Deer Hunter,(1978),183 min,8.1,86        
257,Another Round,(2020),117 min,7.7,79        
258,"Lock, Stock and Two Smoking Barrels",(1998),107 min,8.2,66        
259,500 Days of Summer,(2009),95 min,7.7,76        
260,Star Wars: Episode VI - Return of the Jedi,(1983),131 min,8.3,58        
261,The Hobbit: The Desolation of Smaug,(2013),161 min,7.8,66        
262,Into the Wild,(2007),148 min,8.1,73        
263,Room,(I) (2015),118 min,8.1,86        
264,The Incredibles,(2004),115 min,8.0,90        
265,My Cousin Vinny,(1992),120 min,7.6,68        
266,Memories of Murder,(2003),132 min,8.1,82        
267,A Beautiful Mind,(2001),135 min,8.2,72        
268,Groundhog Day,(1993),101 min,8.1,72        
269,A Star Is Born,(2018),136 min,7.6,88        
270,It's a Wonderful Life,(1946),130 min,8.6,89        
271,12 Years a Slave,(2013),134 min,8.1,96        
272,Predator,(1987),107 min,7.8,47        
273,The Curious Case of Benjamin Button,(2008),166 min,7.8,70        
274,Birdman or (The Unexpected Virtue of Ignorance),(2014),119 min,7.7,87        
275,When Harry Met Sally...,(1989),95 min,7.7,76        
276,Warrior,(2011),140 min,8.2,71        
277,Stardust,(2007),127 min,7.6,66        
278,3 Idiots,(2009),170 min,8.4,67        
279,True Grit,(2010),110 min,7.6,80        
280,Moneyball,(2011),133 min,7.6,87        
281,Saw,(2004),103 min,7.6,46        
282,RoboCop,(1987),102 min,7.6,70        
283,"O Brother, Where Art Thou?",(2000),107 min,7.7,69        
284,Beauty and the Beast,(1991),84 min,8.0,95        
285,The Fugitive,(1993),130 min,7.8,87        
286,Gone with the Wind,(1939),238 min,8.2,97        
287,A Few Good Men,(1992),138 min,7.7,62        
288,Marriage Story,(2019),137 min,7.9,94        
289,Crash,(I) (2004),112 min,7.8,66        
290,The Last Samurai,(2003),154 min,7.8,55        
291,Portrait of a Lady on Fire,(2019),122 min,8.1,95        
292,The Untouchables,(1987),119 min,7.8,79        
293,Amélie,(2001),122 min,8.3,69        
294,Lost in Translation,(2003),102 min,7.7,91        
295,Blazing Saddles,(1974),93 min,7.7,73        
296,Incendies,(2010),131 min,8.3,80        
297,Inside Man,(2006),129 min,7.6,76        
298,WALL·E,(2008),98 min,8.4,95        
299,The Invisible Man,(1933),71 min,7.6,87        
300,Avatar: The Way of Water,(2022),192 min,7.8,67        
301,Puss in Boots: The Last Wish,(2022),102 min,7.9,75        
302,The Banshees of Inisherin,(2022),114 min,7.8,87        
303,Everything Everywhere All at Once,(2022),139 min,8.0,81        
304,The Fabelmans,(2022),151 min,7.7,84        
305,Knives Out,(2019),130 min,7.9,82        
306,Avatar,(2009),162 min,7.9,83        
307,Top Gun: Maverick,(2022),130 min,8.3,78        
308,Aftersun,(II) (2022),102 min,7.8,95        
309,All Quiet on the Western Front,(2022),148 min,7.8,76        
310,Guillermo del Toro's Pinocchio,(2022),117 min,7.7,79        
311,RRR,(2022),187 min,7.9,83        
312,The Godfather,(1972),175 min,9.2,100        
313,The Batman,(2022),176 min,7.8,72        
314,Once Upon a Time in Hollywood,(2019),161 min,7.6,83        
315,The Shawshank Redemption,(1994),142 min,9.3,81        
316,Interstellar,(2014),169 min,8.6,74        
317,Harry Potter and the Sorcerer's Stone,(2001),152 min,7.6,65        
318,Titanic,(1997),194 min,7.9,75        
319,Pulp Fiction,(1994),154 min,8.9,94        
320,Dune,(2021),155 min,8.0,74        
321,The Goonies,(1985),114 min,7.7,62        
322,Spider-Man: No Way Home,(2021),148 min,8.2,71        
323,The Wolf of Wall Street,(2013),180 min,8.2,75        
324,American Psycho,(2000),102 min,7.6,64        
325,The Dark Knight,(2008),152 min,9.0,84        
326,Inception,(2010),148 min,8.8,74        
327,Fight Club,(1999),139 min,8.8,66        
328,Whiplash,(2014),106 min,8.5,89        
329,The Gentlemen,(2019),113 min,7.8,51        
330,The Blues Brothers,(1980),133 min,7.9,60        
331,Good Will Hunting,(1997),126 min,8.3,70        
332,Heat,(1995),170 min,8.3,76        
333,Avengers: Endgame,(2019),181 min,8.4,78        
334,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,8.8,92        
335,Parasite,(2019),132 min,8.5,96        
336,Blade Runner 2049,(2017),164 min,8.0,81        
337,Prisoners,(2013),153 min,8.1,70        
338,In Bruges,(2008),107 min,7.9,67        
339,Jurassic Park,(1993),127 min,8.2,68        
340,A Man Called Ove,(2015),116 min,7.7,70        
341,Road to Perdition,(2002),117 min,7.7,72        
342,Schindler's List,(1993),195 min,9.0,94        
343,Goodfellas,(1990),145 min,8.7,91        
344,Forrest Gump,(1994),142 min,8.8,82        
345,Joker,(I) (2019),122 min,8.4,59        
346,Inglourious Basterds,(2009),153 min,8.3,69        
347,Black Swan,(2010),108 min,8.0,79        
348,The Prestige,(2006),130 min,8.5,66        
349,Get Out,(I) (2017),104 min,7.7,85        
350,Indiana Jones and the Raiders of the Lost Ark,(1981),115 min,8.4,85        
351,The Departed,(2006),151 min,8.5,85        
352,Drive,(I) (2011),100 min,7.8,78        
353,Green Book,(2018),130 min,8.2,69        
354,Tombstone,(1993),130 min,7.8,50        
355,Léon: The Professional,(1994),110 min,8.5,64        
356,The Godfather: Part II,(1974),202 min,9.0,90        
357,Sicario,(2015),121 min,7.6,82        
358,Django Unchained,(2012),165 min,8.4,81        
359,Requiem for a Dream,(2000),102 min,8.3,71        
360,Gladiator,(2000),155 min,8.5,67        
361,Apocalypse Now,(1979),147 min,8.5,94        
362,Sing Street,(2016),106 min,7.9,79        
363,The Grand Budapest Hotel,(2014),99 min,8.1,88        
364,Gone Girl,(2014),149 min,8.1,79        
365,The Breakfast Club,(1985),97 min,7.8,66        
366,La La Land,(2016),128 min,8.0,94        
367,12 Angry Men,(1957),96 min,9.0,96        
368,Pride & Prejudice,(2005),129 min,7.8,82        
369,Se7en,(1995),127 min,8.6,65        
370,American Beauty,(1999),122 min,8.4,84        
371,Hidden Figures,(2016),127 min,7.8,74        
372,Shutter Island,(2010),138 min,8.2,63        
373,Life Is Beautiful,(1997),116 min,8.6,59        
374,Rogue One: A Star Wars Story,(2016),133 min,7.8,65        
375,The Green Mile,(1999),189 min,8.6,61        
376,The Lord of the Rings: The Return of the King,(2003),201 min,9.0,94        
377,The Silence of the Lambs,(1991),118 min,8.6,85        
378,The Matrix,(1999),136 min,8.7,73        
379,Mad Max: Fury Road,(2015),120 min,8.1,90        
380,Alien,(1979),117 min,8.5,89        
381,Harry Potter and the Goblet of Fire,(2005),157 min,7.7,81        
382,Back to the Future,(1985),116 min,8.5,87        
383,Rocky,(1976),120 min,8.1,70        
384,No Country for Old Men,(2007),122 min,8.2,92        
385,Mission: Impossible - Fallout,(2018),147 min,7.7,86        
386,Bohemian Rhapsody,(2018),134 min,7.9,49        
387,Reservoir Dogs,(1992),99 min,8.3,79        
388,Hacksaw Ridge,(2016),139 min,8.1,71        
389,Her,(2013),126 min,8.0,91        
390,"Three Billboards Outside Ebbing, Missouri",(2017),115 min,8.1,88        
391,Eternal Sunshine of the Spotless Mind,(2004),108 min,8.3,89        
392,Little Women,(2019),135 min,7.8,91        
393,Taxi Driver,(1976),114 min,8.2,94        
394,CODA,(2021),111 min,8.0,72        
395,The Worst Person in the World,(2021),128 min,7.8,90        
396,Star Wars: Episode IV - A New Hope,(1977),121 min,8.6,90        
397,"The Good, the Bad and the Ugly",(1966),178 min,8.8,90        
398,Harry Potter and the Deathly Hallows: Part 2,(2011),130 min,8.1,85        
399,1917,(2019),119 min,8.2,78        
400,Guardians of the Galaxy,(2014),121 min,8.0,76        
401,The Dark Knight Rises,(2012),164 min,8.4,78        
402,The Sting,(1973),129 min,8.3,83        
403,The Father,(I) (2020),97 min,8.2,88        
404,The Usual Suspects,(1995),106 min,8.5,77        
405,Memento,(2000),113 min,8.4,81        
406,The Princess Bride,(1987),98 min,8.0,77        
407,Aliens,(1986),137 min,8.4,84        
408,Wind River,(2017),107 min,7.7,73        
409,American History X,(1998),119 min,8.5,62        
410,Pirates of the Caribbean: The Curse of the Black Pearl,(2003),143 min,8.1,63        
411,Thirteen Lives,(2022),147 min,7.8,66        
412,Avengers: Infinity War,(2018),149 min,8.4,68        
413,Scarface,(1983),170 min,8.3,65        
414,Blade Runner,(1982),117 min,8.1,84        
415,The Fifth Element,(1997),126 min,7.6,52        
416,Harry Potter and the Deathly Hallows: Part 1,(2010),146 min,7.7,65        
417,Ex Machina,(2014),108 min,7.7,78        
418,Kingsman: The Secret Service,(2014),129 min,7.7,60        
